TRAIT	TODO	Date_last_edited	Primary(1),Secondary(2) Variable	GRS available? 	User checked trait	Comment	Definition explanation for manuscript	Type (Trait/Medicine/Operation/Family History)	Category	CompositeVariable	DESCRIPTION	Exclude_from_cases	Study_population	Exclude_from_controls	Include_definitions	ICD10	ICD9	OPCS4	OPCS3	READ2	READ2_drugs	CTV3	BNF	DMD	TS(Touchscreen)	f.20001(sr_cancer)	f.20002(sr_noncancer)	f.20003(sr_med)	f.20004(sr_oper)	Minimum_Episode_duration	include_secondary
RxSta		08-11-2016			TH			Medication	cardiovascular disease		meds; Statins										bxd,bxe,bxg,bxi,bxj,bxk,x01R2,x01R3	bxd,bxe,bxg,bxi,bxj,bxk,x01R2,x01R3						1140861958,1140881748,1140910652,1140910654,1141188146,1141195196,1141200040,1140861970,1140864592,1141146138,1141146234,1141192410,1141192414,1140888594,1140888648,1140910632		0	1
RxSsri		08-11-2016			TH			Medication	psychiatry		meds; SSRI's										da3,da4,da5,da6,da9,daC	da3,da4,da5,da6,da9,daC						1140867860,1140867876,1141170866,1141174756,1141185124,1140867878,1140867884,1140867888,1140921600,1141151946,1141200754,1141180212,1141190158		0	1
RxTDiu		08-11-2016			TH			Medication	cardiovascular disease		meds; Thiazide diuretics (incl. indapamide)										b2,b511,b512,b513,b514,b515,b518,b51A,b51C,b51E,b51F,b51G,b51K,b51O,b51P,b51Q,b51a,b51b,b51c,b51d,b51e,b51f,b51g,b51j,b51k,b51l,b51m,b51p,b51q,b51r,b51s,b51v,b51w,b911,b913,b915,b916,b919,b91a,b91c,b91e,b91h,bkC,bkI,bi1D,bi1E,bi1F,bi1G,bi1e,bi1f,bi1s,bi2b,bi3n,bi3p,bi3s,bi3t,bi3u,bi3v,bi3w,bi3x,bi48,bi4F,bi55,bi56,biC7,biC8,bk35,bk36,bk39,bk3A,bk3y,bk3z,bk47,bk48,bk49,bk4x,bk4y,bk4z,bk57,bk58,bk59,bk5x,bk5y,bk5z,bk86,bk87,bk88,bk8w,bk8x,bk8y,bl5i,x00eq,x00f0,x02Rh,x02Ri,x02Rj,x02SC,x05df	b2,b511,b512,b513,b514,b515,b518,b51A,b51C,b51E,b51F,b51G,b51K,b51O,b51P,b51Q,b51a,b51b,b51c,b51d,b51e,b51f,b51g,b51j,b51k,b51l,b51m,b51p,b51q,b51r,b51s,b51v,b51w,b911,b913,b915,b916,b919,b91a,b91c,b91e,b91h,bkC,bkI,bi1D,bi1E,bi1F,bi1G,bi1e,bi1f,bi1s,bi2b,bi3n,bi3p,bi3s,bi3t,bi3u,bi3v,bi3w,bi3x,bi48,bi4F,bi55,bi56,biC7,biC8,bk35,bk36,bk39,bk3A,bk3y,bk3z,bk47,bk48,bk49,bk4x,bk4y,bk4z,bk57,bk58,bk59,bk5x,bk5y,bk5z,bk86,bk87,bk88,bk8w,bk8x,bk8y,bl5i,x00eq,x00f0,x02Rh,x02Ri,x02Rj,x02SC,x05df						1140851332,1140851336,1140851338,1140866072,1140866074,1140866078,1140866084,1140866086,1140866090,1140866092,1140866094,1140866096,1140866102,1140866104,1140866108,1140866110,1140866122,1140866128,1140866132,1140866136,1140866138,1140866140,1140866144,1140866146,1140866156,1140866158,1140866162,1140866164,1140866168,1140888918,1140888922,1140909706,1140910442,1140916870,1140917068,1141146378,1141188636,1141194794,1140866396,1140866400,1140866402,1140866404,1140866410,1140866416,1140866422,1140851430,1140866324,1140866328,1140851432,1140866330,1141180772,1140866340,1140864574,1140922324,1140866418,1140866420,1140851428,1140866426,1140864550,1140851436,1140866352,1140928624,1140866354,1141167108,1140866360,1140851360,1140866440,1140851362,1140851364,1140851368,1140866446,1140866450,1141194800,1140864202,1141170544,1140860764,1141181186,1141150328,1140860790,1140864618,1140864952,1141190934,1141200726,1140860738,1141180598,1141151016,1141151018,1141201040,1141201038,1141172686,1141172682,1141187790,1141187788,1140926778,1140881716,1140881714,1140923272,1140923276,1140923282,1140923404,1141180592		0	1
RxPSDiu		08-11-2016			TH			Medication	cardiovascular disease		meds; Potassium sparing diuretics										b4,b5,x01Qu,x02Rh,x02Ri,x02Rj,x02Rk,x02SB	b4,b5,x01Qu,x02Rh,x02Ri,x02Rj,x02Rk,x02SB						1140851418,1140851420,1140866220,1140866222,1140866226,1140866230,1140866232,1140866236,1140866244,1140866306,1140866308,1140866312,1140866318,1140866388,1140866390,1140910620,1140910622,1140910630,1140927174,1141201244,1141201250,1140851428,1140851430,1140851432,1140851436,1140864550,1140864574,1140866324,1140866328,1140866330,1140866332,1140866334,1140866340,1140866352,1140866354,1140866356,1140866360,1140866396,1140866400,1140866402,1140866404,1140866406,1140866408,1140866410,1140866412,1140866416,1140866418,1140866420,1140866422,1140866426,1140922324,1140928624,1141167108,1141180772,1141181520,1141195254,1140888510,1140888512,1140909722,1140923272,1140923276,1140923282,1140923336,1141146124,1141180778,1140923402		0	1
RxCopd		06-05-2021			TH	Left out ritodrine, beta-agonist with only indication pre-term labor (x01Cp). Excluded corticosteroids that I didn't know were inhaled or not (e.g. x02Mk)		Medication	respiratory/ent		meds; COPD / asthma										c1,c3,c4,c5,c6,c7,x00Af,x00I2,x00QT,x01Ck,x01Cl,x01Cm,x01Cn,x01Co,x01Cq,x01Ct,x01Db,x01Df,x01EJ,x01NN,x025g,x05kq	c1,c3,c4,c5,c6,c7,x00Af,x00I2,x00QT,x01Ck,x01Cl,x01Cm,x01Cn,x01Co,x01Cq,x01Ct,x01Db,x01Df,x01EJ,x01NN,x025g,x05kq			22167=1			1140851906,1140851910,1140855298,1140855302,1140855304,1140855308,1140855372,1140855374,1140855376,1140855380,1140855384,1140855390,1140855400,1140861996,1140861998,1140862008,1140862060,1140862066,1140862070,1140862086,1140862092,1140862110,1140862118,1140862120,1140862124,1140862134,1140862140,1140862144,1140862148,1140862162,1140862168,1140862222,1140862224,1140862280,1140917034,1140923696,1140923708,1140926606,1140926942,1141153172,1141153236,1141153388,1141157264,1141164036,1141164086,1141176832,1141179066,1141183174,1141195224,1141200640,1140862236,1140888906,1141162520,1141162634,1141182628,1141182632,1140855358,1140855360,1140855366,1140855424,1140855426,1140862260,1140862266,1140862274,1140862336,1140862346,1140862348,1140862412,1140862414,1140862418,1140862424,1140862432,1140862438,1140917424,1140855442,1140855496,1140855500,1140855504,1140855506,1140855508,1140855518,1140855520,1140855524,1140855528,1140855530,1140855534,1140855536,1140855538,1140855540,1140855542,1140862362,1140862364,1140862374,1140864734,1140864962,1140864966,1140855466,1140862380,1140862382,1140862406,1140862474,1140862476,1140862560,1140862574,1140862584,1140864286,1140926664,1141153270,1141167594,1141174512,1141174520,1141179072,1141191818,1141195232,1141195280,1140862532,1140862600,1140862610,1140862672,1140862684,1140881856,1141157486,1140881922,1140881862,1140879768,1140879772,1140879774,1140879776,1140879778,1140879780,1140879782,1140879784,1141157490,1140879792,1140879804,1140883546,1140883548,1140883564,1140883706,1140888098,1140862016,1141191748		0	1
RxPac		08-11-2016						Medication	cardiovascular disease		meds; Parenteral anticoagulants										br,x01Nz,x01O0,x056R	br,x01Nz,x01O0,x056R						1140861506,1140861568,1140861574,1140861578,1140861584,1140861588,1140861594,1140861602,1140861604,1140864212,1140864214,1140864956,1140926360,1141171374,1141189054,1141189210,1141189212,1140888204,1140888206,1141171364		0	1
RxAThr		08-11-2016			TH			Medication	cardiovascular disease		meds; Antithrombotic medication				RxOac,RxApl,RxPac															0	1
RxOac		08-11-2016			TH			Medication	cardiovascular disease		meds; Oral anticoagulant (incl. VKAs and NOACs)										bs,x01O4	bs,x01O4						1140861696,1140861698,1140861702,1140861704,1140864122,1140909770,1141164760,1140888266,1140910832		0	1
RxApl		08-11-2016			TH			Medication	cardiovascular disease		meds; Antiplatelet therapy				RxAsp,RxNAsp						bu	bu						1140851930,1140861776,1140861778,1140861780,1140861790,1140861800,1140861804,1140861806,1140861808,1140864860,1140911710,1140917408,1140925942,1141151924,1141163324,1141163328,1141167026,1141167844,1141167848,1141168318,1141168322,1141177826,1141181150,1141181154		0	1
RxAsp		06-05-2021			TH		Included comedication with Aspirin. Sometimes dose and frequency is unclear.	Medication	cardiovascular disease		meds; Aspirin										bu2,x000x,x00et,x00eu,x00fD,x00I6,x00I7,x02LX,x02Mm	bu2,x000x,x00et,x00eu,x00fD,x00I6,x00I7,x02LX,x02Mm			6154=1 (Aspirin), 10004=1 (Aspirin)			1140861800,1140861804,1140861806,1140861808,1140864860,1140917408,1140925942,1141151924,1141167026,1141177826,1140882392,1140923344,1140881550,1140882268,1141146046,1140881416,1140882108,1140881502,1140882106,1140882190,1140882192,1140868226,1140874336,1140909772,1140871080,1140871282,1140909888		0	1
RxNAsp		08-11-2016			TH			Medication	cardiovascular disease		meds; Antiplatelet therapy other than aspirin										bu1,bu3,bu4,bu5,bu6,bu7,bu8,bu9,buA,buB	bu1,bu3,bu4,bu5,bu6,bu7,bu8,bu9,buA,buB						1140851930,1140861778,1140861780,1140861790,1140911710,1141167844,1141167848,1141168318,1141168322,1141163324,1141163328,1141181150,1141181154		0	1
RxVer		08-11-2016			TH			Medication	heart disease		meds; Verapamil										bb3,bk62,x00Th,x01QU	bb3,bk62,x00Th,x01QU						1140866460,1140866466,1140866484,1140866546,1140866554,1140926954,1141150926,1141169096,1141169710,1141184390,1141187056,1141187774,1141153316,1140878598,1140881692,1140888510,1140888512,1140909722		0	1
RxThy		08-11-2016			TH			Medication	endocrine		meds; Thyroid hormones										f9,x01Lm,x01Ln	f9,x01Lm,x01Ln						1140874844,1140874846,1140874852,1141178036,1140884512,1140909904,1140910518,1140910520,1140884516,1140910814,1141191044		0	1
RxNsaid		06-05-2021			TH		Excluded gels	Medication	rheumatology		meds; (oral) NSAIDs										j2,x002v,x006P,x007s,x00Dx,x00fF,x00fi,x00fn,x00fN,x00fs,x00fZ,x00LD,x00Ts,x00Tt,x01Ky,x01L2,x01L6,x02MN,x02MO,x02MP,x05YU	j2,x002v,x006P,x007s,x00Dx,x00fF,x00fi,x00fn,x00fN,x00fs,x00fZ,x00LD,x00Ts,x00Tt,x01Ky,x01L2,x01L6,x02MN,x02MO,x02MP,x05YU			6154=2 (Ibuprofen), 10004=2 (Ibuprofen)			1140853012,1140853018,1140853022,1140853030,1140853082,1140853090,1140853094,1140853100,1140853108,1140853110,1140864412,1140871100,1140871102,1140871168,1140871174,1140871180,1140871188,1140871196,1140871202,1140871206,1140871218,1140871228,1140871236,1140871238,1140871248,1140871256,1140871260,1140871266,1140871274,1140871276,1140871284,1140871320,1140871336,1140871344,1140871348,1140871354,1140871360,1140871370,1140871374,1140871386,1140871388,1140871392,1140871394,1140871396,1140871402,1140871404,1140871406,1140871408,1140871416,1140871430,1140871434,1140871442,1140871450,1140871454,1140871462,1140871468,1140871472,1140871482,1140871484,1140871490,1140871492,1140871506,1140871514,1140871516,1140871522,1140871528,1140871532,1140871546,1140871556,1140871564,1140871568,1140871578,1140871582,1140871590,1140871604,1140871606,1140871614,1140871616,1140871628,1140871654,1140871660,1140871662,1140871666,1140871672,1140875268,1140875270,1140875278,1140875282,1140875336,1140875338,1140875346,1140875350,1140877858,1140888872,1140909354,1140909936,1140910616,1140910712,1140911098,1140911560,1140916806,1140916866,1140917072,1140917074,1140917394,1140917406,1140921828,1140921968,1140921974,1140922318,1140923920,1140925806,1140925808,1140925868,1140926732,1140926792,1140926794,1140926796,1140927086,1140927756,1140928266,1140928656,1141145626,1141145722,1141146400,1141146404,1141146568,1141150922,1141152674,1141153134,1141153330,1141153346,1141156966,1141157112,1141157452,1141162950,1141163014,1141163126,1141164746,1141164750,1141165574,1141165754,1141167426,1141168652,1141168702,1141169526,1141169530,1141169802,1141170824,1141173776,1141176878,1141176886,1141181112,1141181656,1141181752,1141181872,1141182010,1141182642,1141182674,1141182754,1141182868,1141183944,1141184156,1141184162,1141187776,1141190644,1141190952,1141191028,1141191742,1141193170,1141199380,1140878036,1140878030,1140881612,1140877878,1140877880,1140877862,1140878340,1140877854,1140877866,1140878420,1140882818,1140877856,1140878338,1140882232,1140882514,1141167610,1140877864,1140878466,1140882236,1140928298,1140877868,1140877872,1140877874,1140884488,1140884498,1140884558,1140871226,1140871310,1140910496,1141157412,1140871542,1141184546,1141184672		0	1
RxThyrox		04-07-2017			MAS			Medication	endocrine		meds; Thyroxine										x01Ln	x01Ln						1140884516,1140910814,1141191044		0	1
RxEpi		04-07-2017			MAS	anti-epileptic drugs http://epilepsie.neurologie.nl/t_files/Richtlijnen.def_pdf_op_site_NvvN.pdf		Medication	neurology		meds; Anti-epileptic										dn3,dn7,dnh,dnb,dnf,dno,dnm,dnj,dnk,dn8	dn3,dn7,dnh,dnb,dnf,dno,dnm,dnj,dnk,dn8						1140864452,1140872064,1140872072,1141162898,1141167860,1141171566,1141179712,1141185460,2038459704,1140856484,1140872186,1140910706,1141181616,2038460068,1140872214,1140872216,1141172838,1140872198,1140872200,1140872268,1141182592,1140872290,1140872302,1141171932,1141171940,1141175204,1141175212,1140872228,1140872236,1140923484,1140927692,1140872098,1140910612,1140910714,2038460076		0	1
RxGout		04-07-2017			MAS			Medication	musculoskeletal		meds; Colchicine										j62	j62						1140875486		0	1
RxAtopy		04-07-2017			MAS			Medication	immunological/systemic disorders		meds; Hay fever, rhinitis or eczema ( +astma?)										x03am, x01Dp, c8 (antihistaminica specifiek), c6, x0019, x01MQ, (corticosteroids niet specifiek), x02LI, x00Av, x00Aw, x02Mk, x01NN, x01Nf, x05kq, c71, c72 (cromoglicates niet specifiek)	x03am, x01Dp, c8 (antihistaminica specifiek), c6, x0019, x01MQ, (corticosteroids niet specifiek), x02LI, x00Av, x00Aw, x02Mk, x01NN, x01Nf, x05kq, c71, c72 (cromoglicates niet specifiek)			10005=4			1140926170,1141157422,1140883500,1140855556,1140855562,1140855568,1140855624,1140855642,1140855650,1140862612,1140862624,1140862628,1140862632,1140862638,1140862640,1140862650,1140862660,1140862694,1140862696,1140862706,1140862722,1140862726,1140862728,1140862732,1140862734,1140862738,1140862742,1140862756,1140862760,1140862764,1140862770,1140862772,1140862776,1140862792,1140862798,1140862804,1140862810,1140862830,1140862832,1140864750,1140864872,1140882018,1140909476,1140910370,1140921832,1140926782,1140926922,1140927702,1140928356,1141146428,1141151376,1141153080,1141157056,1141157060,1141157322,1141157324,1141162526,1141163840,1141171428,1141172924,1141172928,1141173186,1141173190,1141173416,1141176590,1141179830,1141179944,1141180662,1141181562,1141182528,1141184748,1141184752,1141185040,1141185076,1141185078,1141186226,1141186640,1141187230,1141189692,1141192718,1141192786,1141193888,1141194224,1141194228,1141194386,1141194948,1140855466,1140862380,1140862382,1140862406,1140862474,1140862476,1140862560,1140862574,1140862584,1140864286,1140926664,1141153270,1141167594,1141174512,1141174520,1141179072,1141191818,1141195232,1141195280,1140881938,1141180342,1140884654,1140909786,1140862526,1140909788,1140910730,1140910732,1140910734,1140910736,1140881994,1141182068,1140881996,1141182070,1140862572,1140870070,1140909848,1141157418,1140888098,1140888172,1141191748,1140862532,1140862600,1140862610		0	1
RxAmS		04-07-2017					First line medication for Inflammatory Bowel disease	Mediacation	gastrointestinal/abdominal		meds; Aminosalicylates										aa3, x01A0, aa72, aa61, x02L9 	aa3, x01A0, aa72, aa61, x02L9 						1140865578,1140865580,1140865588,1140865598,1140910598,1140910600,1141152746,1141182708,1141188658,1141189390,1140879502,1140910678,1140910680,1140865742,1140865670		0	1
RxRef		22-10-2020				removed PPI from medication. Removed 1141197884 (code not in updated coding nor data)		Medication	gastrointestinal/abdominal		meds; Gastric Reflux										x052x, a2, x019Q, x007O, x00Xk, x007N, x007M (antacida,specifiek)	x052x, a2, x019Q, x007O, x00Xk, x007N, x007M (antacida,specifiek)						1141166086,1140850708,1140850712,1140850714,1140850716,1140850720,1140850722,1140850726,1140850746,1140850748,1140850750,1140850752,1140850760,1140850762,1140850770,1140850776,1140850788,1140850792,1140850818,1140850822,1140850826,1140850830,1140864108,1140865294,1140865354,1140865358,1140865366,1140865368,1140865370,1141146728,1141168752,1141171032,1141172224,1141193276,1140879406,1140879408,1140881330,1140881530,1140881320,1140881328		0	1
RxVitD		04-07-2017						Medication 	musculoskeletal		meds; Vitamin D products										ip, x004E	ip, x004E			6155=4			1140852946,1140852948,1140852954,1140852956,1140852958,1140870954,1140870956,1140870958,1140870976,1140870980,1140870982,1140871046,1140871050,1140871052,1140871054,1140871056,1140877632,1140909592,1140909880,1140909882,1141145880,1141146606,1141146612,1141164828,1141172148,1141174388,1141180936,1141182298,1141191312,1140876588,1140909876,1140909878		0	1
RxArrI					YE			Medication	cardiovascular disease		meds; Antiarrhytmic drug Class I (ATC)				RxFle						x000Z, x00Tp, bc3, bc5, bcd, bc8, bcb, bc9, bca	x000Z, x00Tp, bc3, bc5, bcd, bc8, bcb, bc9, bca						1140866654,1140866666,1140866624,1140866584,1140866612,1140851530,1140851532,1140851534,1140866598,1140866602		0	1
RxArrII					YE			Medication	cardiovascular disease		meds; Antiarrhytmic drug Class II (ATC)				RxBeta															0	1
RxArrIII					YE			Medication	cardiovascular disease		meds; Antiarrhytmic drug Class III (ATC)				RxSot, RxAmi, RxDro						bb1, bb4	bb1, bb4						1140866516,1141166600,1141187440		0	1
RxArrIV					YE			Medication	cardiovascular disease		meds; Antiarrhytmic drug Class IV (ATC)				RxVer, RxDil						bb3, bk6	bb3, bk6						1140866460,1140866466,1140866484,1140866546,1140866554,1140926954,1141150926,1141169096,1141169710,1141184390,1141187056,1141187774,1141153316,1141153328		0	1
RxArrOth								Medication	cardiovascular disease		meds; Antiarrhytmic drug other than Class I-IV (ATC)				RxGly															0	1
RxArr								Medication	cardiovascular disease		meds; Antiarrhytmic drug (ATC)				RxArrI,RxArrII,RxArrIII,RxArrIV,RxArrOth															0	1
RxAntiChol		20-10-2020				seems a symbol (from dos?) prevent trimming of the double spaces before dr6 and gda, manually removed		Medication	gastrointestinal/abdominal		meds; anticholinergic										dr1, dr3, dr4, dr2, j86, dr6, a41, a42, bb2, k71, o31, a44, a513, k72, a45, gd2, ml21, o32, a46z, k73, a47, dh8, o33, k74, c31, k751, a48, dr5, c32, gda, a49, a4a, a4b, a4c, gd8, gdc, gdd, gd9, c33, gdA, k77, gdB, du3	dr1, dr3, dr4, dr2, j86, dr6, a41, a42, bb2, k71, o31, a44, a513, k72, a45, gd2, ml21, o32, a46z, k73, a47, dh8, o33, k74, c31, k751, a48, dr5, c32, gda, a49, a4a, a4b, a4c, gd8, gdc, gdd, gd9, c33, gdA, k77, gdB, du3						1140856664,1140872378,1140872382,1140872460,1140872520,1140872522,1140856670,1140872448,1140872450,1140853196,1140850914,1140853424,1140850836,1140850920,1140850922,1140850924,1140850926,1140850930,1140850932,1140850934,1140850936,1140850838,1140865378,1140865380,1140865382,1140858082,1140858084,1140865394,1140865396,1140910488,1140910490,1140868012,1140862236,1140888906,1141162520,1141162634,1140865302,1140872532,1140865308,1140865310,1140850852,1140850854,1140865318,1140865330,1141168714,1141168718,1141200322,1141200384,1140858004,1140858006,1140858008,1141182628,1141182632,1140869396,1140869492,1141152752,1141153138,1141162764,1141162824,1141166346,1141177080,1141193290,1140875852,1141171502,1140872492,2018610518		0	1
CaMal		08-11-2016	1					Trait	cancer	cancer	Cancer (malignant neoplasm)					Block_C00-C14,Block_C15-C26,Block_C30-C39,Block_C40-C41,Block_C43-C44,Block_C45-C49,Block_C50-C50,Block_C51-C58,Block_C60-C63,Block_C64-C68,Block_C69-C72,Block_C73-C75,Block_C76-C80, Block_C81-C96,Block_C97-C97,Z08 (Follow-up after treatment for malignant neoplasm), Z85 (Personal history of malignant neoplasm)	141,142,144,146,150,151,152,153,154,155,156,157,159,160,161,162,164,170,171,172,173,174,179,180,182,183,184,185,186,187,188,189,190,191,193,195,196,198,199,200,201,202,204,205,V10 (Personal history of malignant neoplasm)								2453=1					0	1
CaC		08-11-2016	1		TH			Trait	cancer	solid tumors	Colon Cancer (not Rectal)					C18 (Malignant neoplasm of colon), C19(Malignant neoplasm of rectosigmoid junction)	153(Malignant neoplasm of colon),1540(Malignant neoplasm of rectosigmoid junction),									1022				0	1
CaR		08-11-2016	1		YE			Trait	cancer	solid tumors	Rectal Cancer					C20 (Malignant neoplasm of rectum)	1541(Malignant neoplasm of rectum)									1023				0	1
CaCr		08-11-2016	1					Trait	cancer	solid tumors	Colorectal cancer 				CaC,CaR											1020, 1022, 1023				0	1
CaHm		08-11-2016	1					Trait	cancer	hematological malignancy	Lymphatic / hematopoeietic malignancy					C81, C82, C83, C84, C85, C86, C88, C90, C91, C92, C93, C94, C95, C96	200 (Lymphosarcoma and reticulosarcoma), 201 (Hodgkin's disease), 202 (Other malignant neoplasm of lymphoid and histiocytic tissue), 204 (Lymphoid leukaemia), 205 (Myeloid leukaemia)									1047,1048,1050,1051,1052,1053,1055,1056,1058				0	1
CaBrca		08-11-2016	1					Trait	cancer	solid tumors	Breast cancer 					C50 (Malignant neoplasm of breast)	174(female breast neoplasm),175(male breast neoplasm)									1002				0	1
CaL		06-05-2021	1					Trait	cancer	solid tumors	Lung Cancer					C34 (Malignant neoplasm of bronchus and lung)	162(Malignant neoplasm of trachea, bronchus and lung)								22160≥0 (Age lung cancer)	1001, 1027, 1028				0	1
CaP		08-11-2016	1					Trait	cancer	solid tumors	Prostate cancer 					C61 (Malignant neoplasm of prostate)	185(Malignant neoplasm of prostate)									1044				0	1
CaS		04-07-2017	1			MAS - S12, S13, S43, S44, S45, S47, S56, S57 removed from definition		Trait	cancer	solid tumors	Skin cancer					C43 (Malignant melanoma of skin), C44 (Other malignant neoplasms of skin)	172 (Malignant melanoma of skin), 173 (Other malignant neoplasm of skin)	S05, S06, S07, S08, S09, S10, S11, S14								1003, 1059, 1060, 1061, 1062			1593 (removal of malignant melanoma), 1594 (removal of benign skin lesion), 1595 (removal of squamous cell carcinoma), 1596 (removal of rodent ulcer / basal cell carcinoma)	0	1
CaCe		04-07-2017	1			MAS - Q05, Q11, Q19, Q20, Q23-24 removed		Trait	cancer	solid tumors	Cervical cancer					C53 (Malignant neoplasm of cervix uteri)	180 (Malignant neoplasm of cervix uteri)	Q01, Q02, Q03, Q07, Q08, Q09, Q10, Q16, Q17, Q18, Q22								1041			1511 (cervix surgery), 1542 (laser treatment cervx)	0	1
Cva		20-10-2020	1			ALL 5-digit code in this block is NOT present in the actual data		Trait	cerebrovascular disease	Cerebrovascular accident (stroke)	Cerebrovascular accident (stroke+hemorrhage+TIA)				CvaCerH,CvaInfTia,CvaSah	I629, I64, I678, G951, H341, H342	3361, 36231, 36232, 4329, 43301, 43311, 43321, 43331, 43381, 43391, 43401, 43411, 43491, 436								6150=3[4056]		1081 (stroke)			0	1
CvaCraH		08-11-2016	1					Trait	cerebrovascular disease	Cerebrovascular accident (stroke)	Intracranial Haemorrhage 				CvaCerH, CvaSah	I62 (Other nontraumatic intracranial haemorrhage), S064 (Epidural haemorrhage), S065 (Traumatic subdural haemorrhage)	432 (Other and unspecified intracranial haemorrhage)	A411 (Evacuation of subdural hematoma)									1083 (subdural haemorrhage/haematoma)			0	1
CvaCerH		08-11-2016						Trait	cerebrovascular disease	Cerebrovascular accident (stroke)	Intracerebral Haemorrhage					I61 (Intracerebral haemorrhage)	431 (Intracerebral haemorrhage)	A052 (Evacuation of hematoma), A053, A054, L351									1491 (brain haemorrhage)			0	1
CvaInfTia		08-11-2016						Trait	cerebrovascular disease	Cerebrovascular accident (stroke)	Cerebral Infarction and TIA				CvaInf, CvaTia			L353 (Percutaneous transluminal insertion of stent into cerebral artery), L343 (Open embolectomy of cerebral artery)												0	1
CvaInf		08-11-2016						Trait	cerebrovascular disease	Cerebrovascular accident (stroke)	Cerebral Infarction					I63 (Cerebral infarction), I693 (Sequelae of cerebral infarction), G951, H341, H342 	434 (Occlusion of cerebral arteries)										1583 (ischaemic stroke)			0	1
CvaTia		08-11-2016						Trait	cerebrovascular disease	Cerebrovascular accident (stroke)	TIA					I65 (Occlusion and stenosis of precerebral arteries, not resulting in cerebral infarction), G45 (Transient cerebral ischaemic attacks and related syndromes) 	435 (Transient cerebral ischaemia), 4371 (Other generalized ischaemic cerebrovascular disease)										1082 (transient ischaemic attack)			0	1
CvaSah		08-11-2016						Trait	cerebrovascular disease	Cerebrovascular accident (stroke)	Subarachnoid Haemorrhage 					I60 (Subarachnoid haemorrhage), I690(Sequelae of subarachnoid haemorrhage), S066 (Traumatic subarachnoid haemorrhage)	430 (Subarachnoid haemorrhage)										1086 (subarachnoid haemorrhage)			0	1
CvaNoTIA		06-05-2021			MAS	ALL 5-digit code in this block is NOT present in the actual data	Cerebrovascular accident defined according to the AHA stroke associations definition (Sacco et al. 2013)	Trait	cerebrovascular disease	Cerebrovascular accident (stroke)	Cerebrovascular accident (no TIA)				CvaCerH,CvaInf,CvaSah	I629, I64, I678, G951, H341, H342	3361, 36231, 36232,  4329, 43301, 43311, 43321, 43331, 43381, 43391, 43401, 43411, 43491, 436								6150=3[4056]		1081 (stroke), 1583 (ischaemic stroke)			0	1
CvdAll		22-10-2020	1			Removed Irr.Rephrase to fit coding19(ICD10),coding87(ICD9),ICD9 44 expand to sub codes	CVD with every disease that falls within I00-I78  - https://www.cdc.gov/nchs/data/hestat/cardio2007/cardio2007.htm. 	Trait	cardiovascular disease		CVD events based on I00-I78 and associated diagnoses				Cva, Ang, CSur, Cper, HfCmp, Hcm, Pmyo, Arrh, Bbb, Vd, MiVD, PerE, RhF, Pad, NCad, Cad	Block_I00-I02,Block_I05-I09,Block_I10-I15,Block_I20-I25,Block_I26-I28,Block_I30-I52,Block_I60-I69,I70, I71, I72, I73, I74, I77, I78	Block_390-392,Block_393-398,Block_401-405,Block_410-414,Block_415-417,Block_420-429,Block_430-438,440,441,442,443,444,446,447,448													0	1
CvdDeath		22-10-2020					Any with ICD10=I* == for death of cardiovascular disease. Rephrase to fit coding19	Dead	cardiovascular disease		CVD use for dead ONLY based on I*					Chapter_IX														0	1
CaAll		04-07-2017	1		MAS		cancers incl neoplasms	Trait	cancer	cancer (all neoplasms)	Cancer including non-malignant Neoplasms				CaMal, CaNMal															0	1
CaNMal		20-10-2020	1		MAS	Rephrase to fit coding19(ICD10),coding87(ICD9)	Neoplasms (D00-D48) in UK Biobank	Trait	cancer	cancer (D00-D48)	Cancer (non-malignant) coded according to D00-D48					Block_D00-D09,Block_D10-D36,Block_D37-D48	Block_210-229,Block_230-234,Block_235-238,Block_239-239													0	1
Dm		06-05-2021	1					Trait	endocrine		Diabetes Mellitus				DmT1,DmT2	E12,E13,E14	250 (Diabetes mellitus)								2443=1[2976] (Diabetes diagnosed by doctor)		1220 (diabetes)			0	1
DmRx		11-11-2016	1					Trait	endocrine		Diabetes Mellitus (incl. medication)				Dm,RxDm															0	1
DmG		06-05-2021						Trait	endocrine		Gestational Diabetes					O24(Diabetes mellitus in pregnancy)	6480(Diabetes mellitus in mother compl. pregnancy, childbirth, puerperium)								4041=1[2976] (Gestational diabetes only)		1221 (gestational diabetes)			0	1
DmT1		01-06-2017	0				ICD10 codes don't split out type 1 and 2	Trait	endocrine		Type 1 Diabetes	DmT2		DmRx		E10 (Insulin-dependent diabetes mellitus)	25001,25003,25011,25013,25021,25023,25031,25033,25041,25043,25051,25053,25061,25063,25071,25073,25081,25083,25091,25093										1222 (type 1 diabetes)			0	1
DmT2		01-06-2017	0				ICD10 codes don't split out type 1 and 2	Trait	endocrine		Type 2 Diabetes	DmT1		DmRx		E11 (Non-insulin-dependent diabetes mellitus)	25000,25002,25010,25012,25020,25022,25030,25032,25040,25042,25050,25052,25060,25062,25070,25072,25080,25082,25090,25092										1223 (type 2 diabetes)			0	1
HyperLip		08-11-2016	1					Trait	endocrine		Hyperlipidemia					E78(Disorders of lipoprotein metabolism and other lipidaemias)	272(272 Disorders of lipoid metabolism)										1473 (high cholesterol)			0	1
